name,login,total_commits,last_active_year,primary_category,location,company,already_sponsored
Wladimir J. van der Laan,laanwj,7406,2025,Merge,Netherlands,,False
MarcoFalke,paplorinc,6837,2026,Merge,"Valencia, Spain",ex-Google,False
Ava Chow,b-l-u-e,2227,2026,Merge,Undisclosed,Personal/Independent,False
Gavin Andresen,Anonymous,1120,2016,Merge,Undisclosed,,False
Jonas Schnelli,amadeuszpawlik,776,2021,Merge,Undisclosed,Personal/Independent,False
practicalswift,t-bast,715,2021,Tests (QA),Undisclosed,@acinq,False
Philip Kaufmann,Anonymous,639,2015,GUI (Presentation Layer),,,False
Jeff Garzik,CodeShark,533,2015,Merge,Undisclosed,Personal/Independent,False
Luke Dashjr,luke-jr,532,2025,Core Libs,Undisclosed,Personal/Independent,False
Carl Dong,ANtutov,510,2022,Core Libs,Undisclosed,Personal/Independent,False
João Barbosa,Anonymous,339,2022,Wallet (Client App),Undisclosed,,False
Gregory Sanders,instagibbs,333,2026,Tests (QA),Undisclosed,Personal/Independent,False
Anthony Towns,ajtowns,332,2025,Tests (QA),"Brisbane, Australia",,False
Vasil Dimov,vasild,331,2025,Tests (QA),Undisclosed,Personal/Independent,False
furszy,furszy,327,2026,Wallet (Client App),Undisclosed,Personal/Independent,False
Martin Zumsande,stringintech,234,2026,Tests (QA),Undisclosed,Personal/Independent,False
Sebastian Kung,ismaelsadeeq,230,2026,Consensus (Domain Logic),Remote,,False
James O'Beirne,Anonymous,223,2024,Tests (QA),Undisclosed,,False
Bruno Garcia,Anonymous,223,2026,Tests (QA),Brazil,@bitcoin ,False
Lőrinc,Anonymous,213,2026,Tests (QA),Undisclosed,,False
Niklas Gögge,Fibonacci747,133,2025,P2P Network (Infrastructure),Undisclosed,Personal/Independent,False
stickies-v,Anonymous,127,2026,Tests (QA),Undisclosed,,False
Peter Todd,benthecarman,106,2025,Core Libs,"Austin, TX",@spiralxyz,False
Hodlinator,w0xlt,103,2026,Tests (QA),Undisclosed,,False
willcl-ark,janb84,101,2026,Build & CI (DevOps),The netherlands,,False
ismaelsadeeq,murchandamus,88,2026,Tests (QA),"Metropolis, Sol III",Chaincode Labs,False
stratospher,achow101,77,2026,Tests (QA),"Los Angeles, CA",,False
Matthew Zipkin,,72,2025,Tests (QA),,,False
Andrew Toth,andrewtoth,70,2026,Consensus (Domain Logic),Toronto,,False
Josiah Baker,leopardracer,68,2025,Tests (QA),"Odesa, Ukraine",,False
w0xlt,rustaceanrob,63,2026,Tests (QA),Amsterdam,2140,False
AlSzacrel,jayvaliya,52,2025,Tests (QA),"Vadodara,Gujarat",,False
marcofleon,Anonymous,52,2026,Tests (QA),Undisclosed,,False
0xb10c,0xB10C,51,2026,Tests (QA),"Zurich, CH",bolt12 donations: bolt12@b10c.me,False
David Gumberg,pinheadmz,50,2026,Tests (QA),port 8333,,False
tdb3,saikiran,44,2025,Tests (QA),india,Agiliq,False
ishaanam,Anonymous,38,2025,Tests (QA),Undisclosed,,False
kevkevinpal,kevkevinpal,36,2025,Tests (QA),Undisclosed,Personal/Independent,False
pablomartin4btc,polespinasa,34,2025,Tests (QA),BCN,UAB,False
Sergi Delgado Segura,deadmanoz,28,2025,Tests (QA),"Perth, WA",,False
Max Edwards,Anonymous,28,2025,Tests (QA),Undisclosed,,False
Michael Dietz,espi3,28,2025,Tests (QA),Undisclosed,Personal/Independent,False
Eugene Siegel,Crypt-iQ,26,2025,Tests (QA),Undisclosed,Personal/Independent,False
John Moffett,da1sychain,24,2025,GUI (Presentation Layer),Undisclosed,Personal/Independent,False
Kristaps Kaupe,,23,2024,Tests (QA),,,False
Roman Zeyde,romanz,22,2025,Tests (QA),Undisclosed,Trezor,False
rkrux,Anonymous,18,2026,Wallet (Client App),Undisclosed,,False
benthecarman,strmfos,17,2025,Documentation,Undisclosed,@findme,False
William Casarin,,16,2025,Core Libs,,,False
Larry Ruane,secp512k2,15,2024,Tests (QA),Undisclosed,Personal/Independent,False
Daniela Brozzoni,dergoegge,15,2025,P2P Network (Infrastructure),Undisclosed,Personal/Independent,False
Brandon Odiwuor,BrandonOdiwuor,13,2025,Tests (QA),"Nairobi, Kenya",,False
naiyoma,hodlinator,13,2025,Tests (QA),Cyberspace,,False
Ethan Heilman,scgbckbone,13,2025,Tests (QA),ASU,,False
randymcmillann,Anonymous,13,2024,GUI (Presentation Layer),Undisclosed,,False
Chris Stewart,danielabrozzoni,12,2025,Tests (QA),Italy,,False
Jameson Lopp,bigspider,12,2025,Node & RPC (App/Interface),Switzerland,,False
Tim Ruffing,Moozay,11,2025,Documentation,Morocco,,False
Eunovo,Eunovo,9,2025,Tests (QA),"Lagos State, Nigeria",,False
Marnix,Mackain,9,2024,Documentation,Undisclosed,Personal/Independent,False
yancy,yancyribbens,9,2025,Tests (QA),The internet,,False
Daniel Pfeifer,Anonymous,8,2025,Build & CI (DevOps),Russia,,False
UdjinM6,Bue-von-hon,8,2025,GUI (Presentation Layer),seoul,VROONG,False
Eval EXEC,stutxo,7,2025,Core Libs,Undisclosed,@judica-org,False
billymcbip,billymcbip,7,2026,Tests (QA),Undisclosed,Personal/Independent,False
Jeremy Rand,maciejsszmigiero,7,2024,Documentation,Undisclosed,Personal/Independent,False
Alfonso Roman Zubeldia,Pratapchandradeo,7,2025,Tests (QA),"Bhubaneswar, Odisha",,False
stringintech,joaonevess,6,2025,Tests (QA),Solar System,Personal/Independent,False
frankomosh,frankomosh,6,2026,Documentation,Undisclosed,Personal/Independent,False
Jadi,ion-storm,6,2024,GUI (Presentation Layer),root@localhost,,False
virtu,martinsaposnic,6,2024,Documentation,Undisclosed,Personal/Independent,False
Hao Xu,Anonymous,5,2025,Tests (QA),Ukraine,Bitcoin Core,False
Hernan Marino,Anonymous,5,2024,GUI (Presentation Layer),Undisclosed,,False
flack,flack,5,2025,Documentation,Berlin,CONTENT CONTROL GmbH,False
Pol Espinasa,xuhao1,5,2025,Tests (QA),"Hongkong, China",HKUST,False
i-am-yuvi,Anonymous,5,2025,Tests (QA),Berlin,Freelancer,False
AngusP,Anonymous,5,2024,Tests (QA),Undisclosed,,False
WakeTrainDev,waketraindev,5,2026,GUI (Presentation Layer),Undisclosed,Personal/Independent,False
John Bampton,prabhat2027,4,2025,Tests (QA),"Gwalior, Madhya Pradesh, India",Institute of Technology and management,False
Ben Westgate,real-or-random,4,2025,Documentation,Germany,,False
secp512k2,afanti,4,2024,Documentation,Undisclosed,Personal/Independent,False
jurraca,jirijakes,4,2025,Documentation,Undisclosed,Personal/Independent,False
Matt Whitlock,Anonymous,4,2024,Consensus (Domain Logic),Undisclosed,,False
Nicola Leonardo Susca,petertodd,4,2025,Documentation,Toronto,,False
monlovesmango,jonatack,4,2025,Tests (QA),Undisclosed,Personal/Independent,False
Haowen Liu,tomasandroil,3,2025,Utilities (Shared Libs),"Based in Madrid, Spain 🇪🇸",,False
Prabhat Verma,enoch,3,2025,Documentation,Undisclosed,Personal/Independent,False
Jesse Barton,Anonymous,3,2024,Documentation,"Vancouver, Canada",,False
Martin Saposnic,simon,3,2024,Tests (QA),"Montreal, QC, Canada",OVH ,False
Torkel Rogstad,marnix,3,2024,Documentation,Undisclosed,Personal/Independent,False
Chandra Pratap,dongcarl,3,2025,Tests (QA),New York,,False
janb84,mzumsande,3,2026,Core Libs,Undisclosed,@chaincodelabs,False
rustaceanrob,stickies-v,3,2026,Tests (QA),"London, UK",,False
zaidmstrr,zaidmstrr,3,2025,Tests (QA),Undisclosed,Personal/Independent,False
sunerok,virtu,2,2024,Build & CI (DevOps),Earth,,False
b-l-u-e,TheCharlatan,2,2026,Tests (QA),Undisclosed,Personal/Independent,False
Supachai Kheawjuy,Anonymous,2,2024,Documentation,"Adelaide, Australia",@toptal,False
jrakibi,Anonymous,2,2024,Documentation,Undisclosed,,False
Randall Naar,Ayush170-Future,2,2024,Tests (QA),India,,False
enoch,EthanHeilman,2,2025,Tests (QA),Undisclosed,@bastionzero ,False
Luis Schwab,josibake,2,2025,Documentation,Undisclosed,@2140-dev ,False
Bufo,Flowdalic,2,2025,Documentation,Undisclosed,Personal/Independent,False
nervana21,kristapsk,2,2025,Documentation,"Riga, Latvia",,False
Bue-von-hon,ishaanam,2,2025,Consensus (Domain Logic),Undisclosed,Personal/Independent,False
Henry Romp,Christewart,2,2025,Build & CI (DevOps),Undisclosed,Personal/Independent,False
omahs,LarryRuane,2,2024,Core Libs,"Parker, Colorado, USA",@Electric-Coin-Company ,False
da1sychain,purpleKarrot,2,2025,Documentation,Hyperborea,,False
Andre Alves,Anonymous,2,2024,Core Libs,,,False
Musa Haruna,SatsAndSports,2,2025,Core Libs,Undisclosed,Personal/Independent,False
Adlai Chandrasekhar,mjdietzx,2,2025,Tests (QA),ATX,@wayaai ,False
pythcoiner,tianzedavid,2,2025,Consensus (Domain Logic),Undisclosed,Personal/Independent,False
tianzedavid,am-sq,2,2025,Tests (QA),Undisclosed,Personal/Independent,False
wgyt,tdb3,2,2025,Documentation,Undisclosed,Personal/Independent,False
Richard Myers,Anonymous,2,2024,Wallet (Client App),Undisclosed,,False
kilavvy,vtjl10,1,2025,Documentation,"Abu-Dhabi, UAE",,False
Coder,coder,1,2025,Build & CI (DevOps),Undisclosed,Personal/Independent,False
fuder.eth,hoffman,1,2025,Tests (QA),"Toronto, ON",Princess Margaret Cancer Centre/University of Toronto,False
hoffman,UdjinM6,1,2025,Documentation,Undisclosed,Personal/Independent,False
amisha,amisha,1,2025,Core Libs,Undisclosed,Personal/Independent,False
leopardracer,Anonymous,1,2025,Core Libs,United States,Casa,False
strmfos,Anonymous,1,2025,GUI (Presentation Layer),Undisclosed,@bitcoindevkit @getfloresta,False
VolodymyrBg,HurryPeng,1,2025,Tests (QA),"Seattle, WA",University of Washington,False
Haoran Peng,grafi-tt,1,2025,Utilities (Shared Libs),Tokyo,Preferred Networks,False
Shunsuke Shimizu,lunacd,1,2025,Utilities (Shared Libs),Undisclosed,Bloomberg LP,False
Tomás Andróil,jb55,1,2025,Utilities (Shared Libs),Vancouver,,False
